sigla,ano,desca
MAN,1997,1.0243055555555556
MAN,1998,2.6309523809523805
MAN,1999,0.7420634920634919
MAN,2000,0.3035714285714285
MAN,2001,1.2035714285714285
MAN,2002,1.4557142857142864
MAN,2003,0.9492857142857126
MAN,2004,0.6621428571428577
MAN,2005,0.19428571428571573
MAN,2006,0.554285714285713
MAN,2007,0.29846153846153883
MAN,2008,-0.10916666666666615
MAN,2009,0.13416666666666685
MAN,2010,0.2000000000000007
MAN,2011,0.0344444444444413
MAN,2012,0.04384615384615671
MAN,2013,-0.004999999999999005
MAN,2014,-0.11181818181817889
MAN,2015,-0.0009259259259235048
MAN,2016,0.2564814814814811
MAN,2017,0.21111111111111094
MAN,2018,0.15641025641025724
MAN,2019,0.31111111111111317
MAN,2020,0.14102564102563994
MAN,2022,0.04722222222222743
MAN,2023,0.13796296296296223
MAN,2024,0.10277777777777668
MAN,2025,0.32314814814814713
MAN,2026,0.07870370370370239
MOC,1996,2.3888888888888893
MOC,1997,1.5798611111111112
MOC,1998,1.0198412698412693
MOC,1999,1.0198412698412698
MOC,2000,1.1535714285714285
MOC,2001,0.3535714285714285
MOC,2002,1.0057142857142871
MOC,2003,0.5192857142857129
MOC,2004,-0.007857142857142563
MOC,2005,-0.31571428571428584
MOC,2006,-0.10571428571428783
MOC,2007,-0.3315384615384609
MOC,2008,0.010833333333332007
MOC,2009,-0.3958333333333314
MOC,2010,-0.05
MOC,2011,-0.13555555555555757
MOC,2012,-0.06615384615384343
MOC,2013,-0.425
MOC,2014,-0.20181818181817945
MOC,2015,0.11018518518518523
MOC,2016,-0.27685185185185035
MOC,2017,0.16666666666666588
MOC,2018,0.1675213675213685
MOC,2019,0.11111111111111348
MOC,2020,0.24102564102564136
MOC,2022,0.013888888888892836
MOC,2023,-0.28425925925926127
MOC,2024,-0.18611111111111078
MOC,2025,-1.0546296296296294
MOC,2026,-0.24351851851852047
POR,1996,0.9888888888888893
POR,1997,0.2465277777777778
POR,1998,1.4087301587301582
POR,1999,-0.146825396825397
POR,2000,-0.9964285714285716
POR,2001,-0.6964285714285715
POR,2002,0.39571428571428696
POR,2003,0.1292857142857123
POR,2004,0.3621428571428577
POR,2005,-0.7957142857142856
POR,2006,0.16428571428571176
POR,2007,0.03846153846153655
POR,2008,0.18083333333333015
POR,2009,0.244166666666667
POR,2010,-0.220000000000001
POR,2012,0.10384615384615685
POR,2013,0.01500000000000199
POR,2014,0.21818181818181942
POR,2015,0.25462962962963015
POR,2016,0.24537037037036985
POR,2017,0.28888888888888903
POR,2018,0.11196581196581296
POR,2019,0.1777777777777795
POR,2020,0.1299145299145318
POR,2022,0.15833333333333854
POR,2023,-0.10648148148148254
POR,2024,0.08055555555555492
POR,2025,-0.7990740740740745
POR,2026,-0.13240740740740936
PPE,1996,0.4388888888888893
PPE,1997,1.1909722222222223
PPE,1998,-4.0357142857142865
PPE,2000,-1.7464285714285714
PPE,2002,-0.6042857142857138
PPE,2003,-0.5607142857142875
PPE,2004,-0.4578571428571426
PPE,2005,0.164285714285716
PPE,2006,-0.6057142857142871
PPE,2007,-0.3215384615384608
PPE,2008,-0.6791666666666671
PPE,2009,-0.29583333333333073
PPE,2010,-0.4
PPE,2011,-0.3955555555555577
PPE,2012,-0.6861538461538451
PPE,2024,-0.49722222222222
SAL,1996,1.5888888888888892
SAL,1997,1.0798611111111112
SAL,1998,0.9087301587301582
SAL,1999,0.853174603174603
SAL,2000,0.40357142857142847
SAL,2001,1.0035714285714286
SAL,2002,0.7957142857142877
SAL,2003,0.21928571428571358
SAL,2004,0.4921428571428589
SAL,2005,0.6042857142857152
SAL,2006,-0.26571428571428585
SAL,2007,0.1984615384615367
SAL,2008,0.3008333333333312
SAL,2009,0.35416666666666713
SAL,2010,0.2600000000000001
